Airline,Source,Destination,Total_Stops,Price
Jet Airways,Kolkata,Banglore,1,14781
Multiple carriers,Delhi,Cochin,1,10197
Jet Airways,Banglore,New Delhi,1,17261
Air India,Delhi,Cochin,1,7480
IndiGo,Kolkata,Banglore,0,4804
SpiceJet,Kolkata,Banglore,0,4439
Jet Airways,Delhi,Cochin,2,10368
SpiceJet,Delhi,Cochin,1,6065
Jet Airways,Kolkata,Banglore,1,8586
IndiGo,Delhi,Cochin,0,5406
Jet Airways,Delhi,Cochin,2,12142
Jet Airways,Delhi,Cochin,1,14714
Jet Airways,Delhi,Cochin,1,10262
Air India,Banglore,New Delhi,1,15434
Air India,Kolkata,Banglore,2,10676
IndiGo,Kolkata,Banglore,0,4804
Jet Airways,Delhi,Cochin,2,13014
IndiGo,Banglore,Delhi,0,3943
Air India,Mumbai,Hyderabad,2,9678
Jet Airways,Kolkata,Banglore,1,14781
Multiple carriers,Delhi,Cochin,1,10197
Air India,Delhi,Cochin,2,10861
Jet Airways,Kolkata,Banglore,1,10844
Air India,Delhi,Cochin,1,7480
IndiGo,Delhi,Cochin,1,5684
Jet Airways,Delhi,Cochin,1,14714
Jet Airways,Kolkata,Banglore,1,9314
Air India,Kolkata,Banglore,0,4435
Multiple carriers,Delhi,Cochin,1,11789
SpiceJet,Banglore,Delhi,0,3919
Jet Airways,Banglore,Delhi,0,5198
SpiceJet,Banglore,New Delhi,0,4273
Vistara,Kolkata,Banglore,1,8820
IndiGo,Mumbai,Hyderabad,0,2754
Vistara,Kolkata,Banglore,1,8085
Jet Airways,Kolkata,Banglore,1,10539
Jet Airways,Kolkata,Banglore,1,14676
Jet Airways,Delhi,Cochin,1,6017
Jet Airways,Banglore,Delhi,0,4544
Trujet,Mumbai,Hyderabad,1,4140
Jet Airways,Banglore,Delhi,0,7229
Air India,Delhi,Cochin,2,16373
Air India,Kolkata,Banglore,2,10991
Jet Airways,Kolkata,Banglore,1,9663
Air India,Banglore,New Delhi,1,14305
Air Asia,Delhi,Cochin,1,6752
Jet Airways,Kolkata,Banglore,1,8529
IndiGo,Delhi,Cochin,0,4729
Multiple carriers,Delhi,Cochin,1,7670
Jet Airways,Mumbai,Hyderabad,0,4995
Jet Airways,Banglore,Delhi,0,7229
IndiGo,Banglore,Delhi,0,4823
Air Asia,Kolkata,Banglore,0,3782
Jet Airways,Delhi,Cochin,1,12898
SpiceJet,Kolkata,Banglore,0,3841
Multiple carriers,Delhi,Cochin,1,9627
Jet Airways,Kolkata,Banglore,1,14571
IndiGo,Kolkata,Banglore,0,6985
Jet Airways,Mumbai,Hyderabad,0,8040
IndiGo,Kolkata,Banglore,0,4804
Multiple carriers,Delhi,Cochin,1,10678
Jet Airways,Kolkata,Banglore,1,14231
Jet Airways,Kolkata,Banglore,1,8529
Air India,Delhi,Cochin,2,11753
Jet Airways,Delhi,Cochin,2,16704
Jet Airways,Kolkata,Banglore,1,13374
Air India,Mumbai,Hyderabad,0,3625
Jet Airways,Delhi,Cochin,1,16079
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Kolkata,Banglore,1,9663
Multiple carriers,Delhi,Cochin,1,9595
IndiGo,Kolkata,Banglore,0,4804
Air India,Kolkata,Banglore,2,12744
Air India,Banglore,Delhi,0,6961
Jet Airways,Kolkata,Banglore,1,9663
Multiple carriers,Delhi,Cochin,1,7575
Air India,Banglore,New Delhi,2,13355
Air India,Kolkata,Banglore,2,12592
Air India,Mumbai,Hyderabad,0,3625
Jet Airways,Delhi,Cochin,1,10262
Air India,Delhi,Cochin,2,9443
Air India,Delhi,Cochin,1,18959
IndiGo,Mumbai,Hyderabad,0,4784
Air India,Kolkata,Banglore,1,7893
Air India,Delhi,Cochin,2,14431
Jet Airways Business,Banglore,New Delhi,1,79512
Jet Airways,Mumbai,Hyderabad,0,3210
Multiple carriers,Delhi,Cochin,1,13677
Air India,Delhi,Cochin,1,7480
Air India,Delhi,Cochin,1,8372
Jet Airways,Delhi,Cochin,2,11664
Air India,Banglore,Delhi,0,6961
Air India,Banglore,Delhi,0,6121
Air India,Banglore,Delhi,0,5911
GoAir,Banglore,Delhi,0,3398
Multiple carriers,Delhi,Cochin,1,7530
GoAir,Banglore,Delhi,0,3419
Vistara,Banglore,New Delhi,0,6558
Air India,Kolkata,Banglore,1,10203
Jet Airways,Banglore,New Delhi,1,11087
SpiceJet,Banglore,New Delhi,0,5575
Air Asia,Delhi,Cochin,1,6152
Jet Airways,Kolkata,Banglore,1,5608
Jet Airways,Banglore,New Delhi,1,17261
Jet Airways,Delhi,Cochin,2,15129
GoAir,Banglore,Delhi,0,3419
IndiGo,Delhi,Cochin,1,6218
Jet Airways,Delhi,Cochin,1,14714
Multiple carriers,Delhi,Cochin,1,14848
Jet Airways,Kolkata,Banglore,1,9358
Air India,Kolkata,Banglore,1,8366
Multiple carriers,Delhi,Cochin,1,15342
Jet Airways,Mumbai,Hyderabad,0,5678
IndiGo,Kolkata,Banglore,0,4804
Jet Airways,Kolkata,Banglore,1,14571
Jet Airways,Kolkata,Banglore,1,12681
Jet Airways,Banglore,New Delhi,1,17261
Vistara,Kolkata,Banglore,1,9922
Jet Airways,Kolkata,Banglore,1,10844
SpiceJet,Banglore,Delhi,0,4423
IndiGo,Banglore,Delhi,0,3419
Jet Airways,Delhi,Cochin,1,14714
Jet Airways,Banglore,New Delhi,1,11087
IndiGo,Delhi,Cochin,1,6316
SpiceJet,Chennai,Kolkata,0,3543
Jet Airways,Kolkata,Banglore,1,14571
Jet Airways,Kolkata,Banglore,1,14676
Jet Airways,Banglore,New Delhi,1,17261
Jet Airways,Kolkata,Banglore,1,13941
Air India,Delhi,Cochin,1,13348
Jet Airways,Banglore,Delhi,0,8016
Jet Airways,Delhi,Cochin,1,12898
Jet Airways,Banglore,Delhi,0,7229
SpiceJet,Mumbai,Hyderabad,0,2017
Jet Airways,Banglore,New Delhi,1,16736
SpiceJet,Kolkata,Banglore,0,3873
IndiGo,Delhi,Cochin,1,6704
Jet Airways,Kolkata,Banglore,1,10844
Vistara,Banglore,New Delhi,0,7450
Jet Airways,Banglore,New Delhi,1,16736
Jet Airways,Delhi,Cochin,1,10262
Air India,Kolkata,Banglore,2,10991
SpiceJet,Banglore,Delhi,0,3311
IndiGo,Delhi,Cochin,1,7081
IndiGo,Banglore,Delhi,0,3943
Air India,Delhi,Cochin,1,8372
Air India,Delhi,Cochin,2,11701
Jet Airways,Banglore,Delhi,0,5769
Multiple carriers,Delhi,Cochin,2,15965
SpiceJet,Banglore,Delhi,0,4423
Jet Airways,Banglore,New Delhi,1,6136
Jet Airways,Banglore,New Delhi,1,11087
IndiGo,Chennai,Kolkata,0,3540
Jet Airways,Delhi,Cochin,1,12898
IndiGo,Banglore,Delhi,0,4591
Air India,Delhi,Cochin,1,8635
Jet Airways,Delhi,Cochin,1,14714
Jet Airways,Kolkata,Banglore,1,14151
Multiple carriers,Delhi,Cochin,1,8835
Air India,Kolkata,Banglore,1,11936
Jet Airways,Delhi,Cochin,2,13882
Air India,Delhi,Cochin,1,5117
Jet Airways,Banglore,Delhi,0,4544
IndiGo,Delhi,Cochin,1,6442
Air India,Delhi,Cochin,2,10441
IndiGo,Mumbai,Hyderabad,0,2227
Jet Airways,Banglore,Delhi,0,7229
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Banglore,New Delhi,1,13817
SpiceJet,Delhi,Cochin,1,5975
IndiGo,Kolkata,Banglore,0,4148
Multiple carriers,Delhi,Cochin,1,13587
Jet Airways,Mumbai,Hyderabad,0,2759
Jet Airways,Banglore,Delhi,0,7229
Air India,Delhi,Cochin,2,13547
SpiceJet,Kolkata,Banglore,0,3873
Jet Airways,Kolkata,Banglore,1,14388
Jet Airways,Kolkata,Banglore,1,13731
SpiceJet,Kolkata,Banglore,0,3815
Jet Airways,Mumbai,Hyderabad,0,5678
Jet Airways,Kolkata,Banglore,1,9663
GoAir,Kolkata,Banglore,1,8855
Jet Airways,Delhi,Cochin,2,15129
Jet Airways,Banglore,New Delhi,1,13555
Jet Airways,Kolkata,Banglore,1,10844
Jet Airways,Banglore,New Delhi,1,7832
Jet Airways,Delhi,Cochin,2,11150
Vistara,Kolkata,Banglore,1,8452
Multiple carriers,Delhi,Cochin,1,9646
IndiGo,Banglore,Delhi,0,3943
GoAir,Delhi,Cochin,1,5281
Air India,Delhi,Cochin,2,14667
Jet Airways,Kolkata,Banglore,1,14571
Jet Airways,Banglore,New Delhi,1,28097
Jet Airways,Banglore,New Delhi,1,17471
Jet Airways,Delhi,Cochin,1,10577
Multiple carriers,Delhi,Cochin,1,14848
IndiGo,Banglore,Delhi,0,4591
IndiGo,Chennai,Kolkata,0,3597
IndiGo,Delhi,Cochin,1,6938
Air Asia,Kolkata,Banglore,0,3807
Jet Airways,Delhi,Cochin,1,10262
Air India,Kolkata,Banglore,2,11432
Jet Airways,Banglore,New Delhi,0,7229
Multiple carriers,Delhi,Cochin,1,14848
Jet Airways,Kolkata,Banglore,1,8586
Multiple carriers,Delhi,Cochin,1,6106
SpiceJet,Kolkata,Banglore,0,3873
Jet Airways,Delhi,Cochin,2,15812
Jet Airways,Kolkata,Banglore,1,12121
Jet Airways,Kolkata,Banglore,1,8586
Multiple carriers,Delhi,Cochin,1,7354
IndiGo,Kolkata,Banglore,0,4778
IndiGo,Delhi,Cochin,1,6838
Multiple carriers,Delhi,Cochin,1,10276
Jet Airways,Banglore,Delhi,0,8016
Air India,Banglore,New Delhi,1,4943
IndiGo,Banglore,Delhi,0,4823
Jet Airways,Kolkata,Banglore,1,12996
Air India,Delhi,Cochin,1,9929
Multiple carriers,Delhi,Cochin,1,9508
Air India,Delhi,Cochin,0,5674
IndiGo,Chennai,Kolkata,0,3858
IndiGo,Kolkata,Banglore,0,4804
Multiple carriers,Delhi,Cochin,1,13377
Jet Airways,Delhi,Cochin,1,12898
Air Asia,Kolkata,Banglore,0,4409
Air Asia,Delhi,Cochin,1,8759
Air India,Banglore,New Delhi,1,10394
IndiGo,Chennai,Kolkata,0,3858
Air Asia,Delhi,Cochin,1,6253
Jet Airways,Delhi,Cochin,2,15129
GoAir,Kolkata,Banglore,1,4773
Jet Airways,Kolkata,Banglore,1,9663
Jet Airways,Kolkata,Banglore,1,12692
IndiGo,Banglore,Delhi,0,3943
Jet Airways,Kolkata,Banglore,1,10703
IndiGo,Delhi,Cochin,1,8784
Multiple carriers,Delhi,Cochin,1,11622
IndiGo,Chennai,Kolkata,0,5277
Air Asia,Delhi,Cochin,1,8327
IndiGo,Delhi,Cochin,0,6885
Jet Airways,Banglore,Delhi,0,8016
IndiGo,Delhi,Cochin,1,10112
IndiGo,Delhi,Cochin,1,14871
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Mumbai,Hyderabad,0,2470
Air India,Delhi,Cochin,2,11622
Vistara,Kolkata,Banglore,1,8662
Air India,Delhi,Cochin,2,11972
Jet Airways,Delhi,Cochin,2,11992
Jet Airways,Delhi,Cochin,1,12373
Multiple carriers,Delhi,Cochin,1,7198
Jet Airways,Delhi,Cochin,1,14714
IndiGo,Delhi,Cochin,1,6316
Air India,Delhi,Cochin,1,5998
Jet Airways,Kolkata,Banglore,1,13044
Multiple carriers,Delhi,Cochin,1,9646
Air Asia,Delhi,Cochin,1,6451
GoAir,Delhi,Cochin,1,5281
Jet Airways,Mumbai,Hyderabad,0,2228
IndiGo,Banglore,Delhi,0,3943
Air India,Delhi,Cochin,2,11753
Jet Airways,Delhi,Cochin,2,12819
Jet Airways,Delhi,Cochin,2,8728
SpiceJet,Delhi,Cochin,1,4812
Jet Airways,Kolkata,Banglore,1,14151
Vistara,Kolkata,Banglore,1,8452
IndiGo,Kolkata,Banglore,1,6762
Jet Airways,Banglore,New Delhi,1,13817
Jet Airways,Delhi,Cochin,1,12898
IndiGo,Kolkata,Banglore,1,3480
Jet Airways,Banglore,New Delhi,1,27992
Jet Airways,Delhi,Cochin,2,7791
Air India,Delhi,Cochin,1,5704
IndiGo,Kolkata,Banglore,1,5268
GoAir,Banglore,Delhi,0,3898
SpiceJet,Kolkata,Banglore,0,3847
Multiple carriers,Delhi,Cochin,1,10877
Multiple carriers,Delhi,Cochin,1,8371
Multiple carriers,Delhi,Cochin,1,7038
Jet Airways,Kolkata,Banglore,1,14571
Jet Airways,Kolkata,Banglore,1,11841
Jet Airways,Delhi,Cochin,2,15129
SpiceJet,Kolkata,Banglore,0,3841
Jet Airways,Delhi,Cochin,1,10262
Air India,Kolkata,Banglore,0,4460
IndiGo,Banglore,New Delhi,0,7648
Vistara,Kolkata,Banglore,1,8610
IndiGo,Chennai,Kolkata,0,3597
IndiGo,Delhi,Cochin,1,6442
IndiGo,Delhi,Cochin,1,12351
Multiple carriers,Delhi,Cochin,1,14067
IndiGo,Banglore,Delhi,0,4823
Vistara,Kolkata,Banglore,1,12102
Jet Airways,Mumbai,Hyderabad,0,8040
IndiGo,Banglore,New Delhi,0,7648
IndiGo,Delhi,Cochin,1,6582
Vistara,Banglore,Delhi,0,4668
IndiGo,Banglore,Delhi,0,4823
SpiceJet,Kolkata,Banglore,0,3873
Multiple carriers,Delhi,Cochin,1,8476
IndiGo,Delhi,Cochin,1,5636
Jet Airways,Kolkata,Banglore,1,8586
IndiGo,Banglore,Delhi,0,4823
Air India,Delhi,Cochin,0,6881
Jet Airways,Kolkata,Banglore,1,10844
IndiGo,Kolkata,Banglore,1,4226
Jet Airways,Delhi,Cochin,1,12373
Air India,Kolkata,Banglore,2,10697
Jet Airways,Mumbai,Hyderabad,0,4995
Air India,Delhi,Cochin,2,9443
Jet Airways,Delhi,Cochin,2,13029
Jet Airways,Delhi,Cochin,2,12347
Multiple carriers,Delhi,Cochin,1,7408
Jet Airways,Kolkata,Banglore,1,7064
Jet Airways,Delhi,Cochin,1,13843
IndiGo,Kolkata,Banglore,0,4174
Multiple carriers,Delhi,Cochin,3,16294
SpiceJet,Kolkata,Banglore,0,3841
IndiGo,Banglore,Delhi,0,4423
Air India,Delhi,Cochin,0,5201
Air India,Banglore,New Delhi,2,12599
IndiGo,Mumbai,Hyderabad,0,4049
Air India,Kolkata,Banglore,2,12797
Jet Airways,Kolkata,Banglore,1,13067
Vistara,Kolkata,Banglore,1,9345
IndiGo,Delhi,Cochin,1,6818
Jet Airways,Mumbai,Hyderabad,0,8040
Jet Airways,Delhi,Cochin,2,14300
Multiple carriers,Delhi,Cochin,1,13727
Jet Airways,Banglore,New Delhi,1,7832
Multiple carriers,Delhi,Cochin,1,16259
IndiGo,Banglore,Delhi,0,4823
Jet Airways,Banglore,New Delhi,1,16736
Air India,Kolkata,Banglore,2,13217
Multiple carriers,Delhi,Cochin,1,6637
Jet Airways,Kolkata,Banglore,1,10844
Multiple carriers,Delhi,Cochin,1,8401
SpiceJet,Kolkata,Banglore,0,3873
Jet Airways,Delhi,Cochin,2,12410
Jet Airways,Delhi,Cochin,2,15129
IndiGo,Banglore,Delhi,0,4423
Jet Airways,Delhi,Cochin,1,16079
Air India,Kolkata,Banglore,2,15894
Multiple carriers,Delhi,Cochin,1,9103
Air India,Delhi,Cochin,1,8991
Air India,Kolkata,Banglore,2,7893
IndiGo,Mumbai,Hyderabad,0,4575
SpiceJet,Kolkata,Banglore,0,3873
Jet Airways,Banglore,New Delhi,1,7832
IndiGo,Chennai,Kolkata,0,3597
Jet Airways,Kolkata,Banglore,1,13759
Jet Airways,Banglore,Delhi,0,7229
SpiceJet,Kolkata,Banglore,0,3873
Multiple carriers,Delhi,Cochin,1,9794
Air India,Delhi,Cochin,1,6681
IndiGo,Banglore,Delhi,0,4423
Jet Airways,Kolkata,Banglore,1,10844
IndiGo,Delhi,Cochin,1,7258
Jet Airways,Mumbai,Hyderabad,0,4995
Jet Airways,Delhi,Cochin,1,14924
Vistara,Banglore,New Delhi,1,6590
Jet Airways,Delhi,Cochin,1,10262
SpiceJet,Kolkata,Banglore,0,5515
Jet Airways,Delhi,Cochin,2,6643
IndiGo,Mumbai,Hyderabad,0,2754
IndiGo,Delhi,Cochin,1,6493
IndiGo,Kolkata,Banglore,1,6218
Air India,Delhi,Cochin,2,10861
IndiGo,Delhi,Cochin,1,7094
SpiceJet,Mumbai,Hyderabad,0,2227
Jet Airways,Banglore,Delhi,0,4544
Air India,Banglore,New Delhi,2,7664
Jet Airways,Banglore,Delhi,0,8016
Air Asia,Kolkata,Banglore,0,3807
Air India,Delhi,Cochin,2,12698
Jet Airways,Kolkata,Banglore,1,8586
Jet Airways,Kolkata,Banglore,1,7064
IndiGo,Delhi,Cochin,0,5601
SpiceJet,Delhi,Cochin,1,7317
Air India,Kolkata,Banglore,3,12797
IndiGo,Kolkata,Banglore,1,4226
Jet Airways,Kolkata,Banglore,1,14151
IndiGo,Delhi,Cochin,1,6628
IndiGo,Banglore,New Delhi,0,8033
Multiple carriers,Delhi,Cochin,1,11200
IndiGo,Kolkata,Banglore,0,4804
Air Asia,Kolkata,Banglore,1,5192
Jet Airways,Delhi,Cochin,2,13014
Jet Airways,Kolkata,Banglore,1,10844
Multiple carriers,Delhi,Cochin,1,15603
GoAir,Banglore,Delhi,0,4239
Jet Airways,Kolkata,Banglore,1,13044
Jet Airways,Delhi,Cochin,1,12898
SpiceJet,Kolkata,Banglore,1,6013
Jet Airways,Kolkata,Banglore,1,14781
Jet Airways,Delhi,Cochin,1,12557
Multiple carriers,Delhi,Cochin,1,13875
Jet Airways,Delhi,Cochin,2,11507
Air India,Kolkata,Banglore,0,5510
GoAir,Kolkata,Banglore,1,10198
Jet Airways,Kolkata,Banglore,1,8355
Jet Airways,Banglore,Delhi,0,8016
IndiGo,Delhi,Cochin,1,6314
Air India,Delhi,Cochin,0,5831
Jet Airways,Delhi,Cochin,1,10262
Multiple carriers,Delhi,Cochin,1,15136
Jet Airways,Banglore,New Delhi,1,7832
SpiceJet,Chennai,Kolkata,0,3859
IndiGo,Kolkata,Banglore,0,4174
Jet Airways,Banglore,New Delhi,1,19225
IndiGo,Delhi,Cochin,1,10518
IndiGo,Banglore,Delhi,0,4823
Air India,Banglore,New Delhi,0,7276
Multiple carriers,Delhi,Cochin,1,12192
Air Asia,Delhi,Cochin,1,11410
Air India,Kolkata,Banglore,2,13033
Jet Airways,Banglore,New Delhi,1,26890
IndiGo,Kolkata,Banglore,0,4804
Jet Airways,Kolkata,Banglore,1,10844
Air India,Delhi,Cochin,2,12436
IndiGo,Banglore,Delhi,0,4823
IndiGo,Mumbai,Hyderabad,0,2227
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Delhi,Cochin,1,17024
Jet Airways,Delhi,Cochin,2,9296
Air India,Delhi,Cochin,0,6094
Jet Airways,Kolkata,Banglore,1,8586
Jet Airways,Delhi,Cochin,2,10919
GoAir,Kolkata,Banglore,1,9495
Jet Airways,Delhi,Cochin,1,14714
Air India,Delhi,Cochin,0,5201
Air India,Delhi,Cochin,2,7090
IndiGo,Mumbai,Hyderabad,0,4575
Multiple carriers,Delhi,Cochin,1,9646
IndiGo,Delhi,Cochin,1,5636
Multiple carriers,Delhi,Cochin,1,9646
Jet Airways,Mumbai,Hyderabad,0,4050
Jet Airways,Delhi,Cochin,1,14714
IndiGo,Kolkata,Banglore,0,4804
Jet Airways,Delhi,Cochin,1,10577
GoAir,Banglore,Delhi,0,3898
Jet Airways,Kolkata,Banglore,1,14571
Jet Airways,Delhi,Cochin,2,10919
Jet Airways,Banglore,Delhi,0,8016
IndiGo,Delhi,Cochin,1,6287
Air India,Kolkata,Banglore,1,8366
Jet Airways,Delhi,Cochin,1,15400
Vistara,Banglore,New Delhi,0,8553
SpiceJet,Kolkata,Banglore,0,3841
Air India,Delhi,Cochin,2,10021
SpiceJet,Chennai,Kolkata,0,3597
IndiGo,Chennai,Kolkata,0,4332
GoAir,Banglore,Delhi,0,3898
Jet Airways,Mumbai,Hyderabad,2,21375
Vistara,Kolkata,Banglore,1,8610
IndiGo,Kolkata,Banglore,0,4804
Air India,Delhi,Cochin,2,13591
Jet Airways,Kolkata,Banglore,1,14781
Jet Airways,Banglore,New Delhi,1,9134
Air India,Delhi,Cochin,2,10493
Jet Airways,Banglore,New Delhi,1,8147
SpiceJet,Kolkata,Banglore,0,3873
Jet Airways,Kolkata,Banglore,1,14571
Air India,Banglore,New Delhi,2,11003
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Delhi,Cochin,1,12719
Jet Airways,Delhi,Cochin,1,10262
Air India,Banglore,Delhi,0,7171
SpiceJet,Banglore,Delhi,0,4423
Multiple carriers,Delhi,Cochin,1,12616
Air India,Delhi,Cochin,2,12970
Jet Airways,Kolkata,Banglore,1,14914
Jet Airways,Mumbai,Hyderabad,0,3210
GoAir,Banglore,Delhi,0,4632
Jet Airways,Delhi,Cochin,1,12373
IndiGo,Kolkata,Banglore,0,4804
Multiple carriers,Delhi,Cochin,3,21829
Multiple carriers,Delhi,Cochin,1,13587
Jet Airways,Delhi,Cochin,2,12819
Air Asia,Delhi,Cochin,1,6151
Jet Airways,Banglore,Delhi,0,8016
Multiple carriers,Delhi,Cochin,1,15135
IndiGo,Delhi,Cochin,1,6794
Vistara,Kolkata,Banglore,1,8610
Air India,Kolkata,Banglore,2,12723
Air India,Kolkata,Banglore,1,7662
Multiple carriers,Delhi,Cochin,1,14343
Multiple carriers,Delhi,Cochin,1,6795
SpiceJet,Kolkata,Banglore,0,3873
IndiGo,Mumbai,Hyderabad,0,2754
Air India,Mumbai,Hyderabad,1,16666
Multiple carriers,Delhi,Cochin,1,11098
Jet Airways,Kolkata,Banglore,1,10539
Air India,Delhi,Cochin,1,9929
Jet Airways,Kolkata,Banglore,1,10844
Jet Airways,Kolkata,Banglore,1,12692
Jet Airways,Delhi,Cochin,1,9212
Multiple carriers,Delhi,Cochin,1,13727
Air Asia,Banglore,Delhi,0,4282
Jet Airways,Kolkata,Banglore,1,10844
Air India,Delhi,Cochin,1,7480
IndiGo,Banglore,Delhi,0,4823
Jet Airways,Delhi,Cochin,1,12373
Multiple carriers,Delhi,Cochin,1,7215
Air India,Delhi,Cochin,1,7480
Multiple carriers,Delhi,Cochin,1,8143
IndiGo,Banglore,Delhi,0,4823
Jet Airways,Kolkata,Banglore,1,10844
SpiceJet,Banglore,Delhi,0,5621
Vistara,Kolkata,Banglore,1,9555
IndiGo,Banglore,New Delhi,0,4777
SpiceJet,Banglore,New Delhi,0,7648
IndiGo,Kolkata,Banglore,1,10308
Jet Airways,Delhi,Cochin,2,21219
IndiGo,Kolkata,Banglore,1,11319
Jet Airways,Kolkata,Banglore,1,10844
Multiple carriers,Delhi,Cochin,1,15078
SpiceJet,Mumbai,Hyderabad,0,2017
Air Asia,Kolkata,Banglore,0,4409
IndiGo,Delhi,Cochin,1,5054
Air India,Banglore,New Delhi,2,10111
SpiceJet,Banglore,New Delhi,0,4273
Jet Airways,Delhi,Cochin,2,8728
Air India,Kolkata,Banglore,1,8576
Jet Airways,Banglore,Delhi,0,8016
Jet Airways,Banglore,Delhi,0,8016
Jet Airways,Kolkata,Banglore,1,14151
IndiGo,Banglore,Delhi,0,4423
Jet Airways,Mumbai,Hyderabad,0,4050
Jet Airways,Kolkata,Banglore,1,14781
Jet Airways,Kolkata,Banglore,1,8586
Air Asia,Kolkata,Banglore,1,5162
Jet Airways,Kolkata,Banglore,1,13731
Jet Airways,Delhi,Cochin,1,7438
Jet Airways,Kolkata,Banglore,1,14151
Vistara,Banglore,Delhi,0,5613
IndiGo,Kolkata,Banglore,1,5380
Jet Airways,Delhi,Cochin,1,7438
Multiple carriers,Delhi,Cochin,1,9646
Air Asia,Delhi,Cochin,1,6853
Jet Airways,Banglore,New Delhi,1,13555
IndiGo,Delhi,Cochin,1,5883
IndiGo,Delhi,Cochin,1,6171
IndiGo,Mumbai,Hyderabad,0,3175
IndiGo,Delhi,Cochin,1,4832
Multiple carriers,Delhi,Cochin,1,13377
Jet Airways,Delhi,Cochin,1,10262
Jet Airways,Delhi,Cochin,1,10262
Air India,Delhi,Cochin,2,8603
Jet Airways,Kolkata,Banglore,1,8586
Vistara,Kolkata,Banglore,1,8452
Jet Airways,Kolkata,Banglore,1,14231
Jet Airways,Delhi,Cochin,1,16289
SpiceJet,Banglore,New Delhi,0,6860
IndiGo,Mumbai,Hyderabad,0,2754
Multiple carriers,Delhi,Cochin,1,9646
Air India,Chennai,Kolkata,0,4667
IndiGo,Kolkata,Banglore,0,4804
IndiGo,Banglore,New Delhi,0,4545
Jet Airways,Banglore,New Delhi,1,25735
Jet Airways,Delhi,Cochin,2,12647
Jet Airways,Kolkata,Banglore,1,8586
IndiGo,Chennai,Kolkata,0,5277
IndiGo,Delhi,Cochin,1,6206
Air Asia,Banglore,Delhi,0,4483
Vistara,Kolkata,Banglore,1,9870
SpiceJet,Kolkata,Banglore,0,3841
SpiceJet,Kolkata,Banglore,0,3815
IndiGo,Banglore,New Delhi,0,6860
Jet Airways,Kolkata,Banglore,1,12121
Jet Airways,Delhi,Cochin,1,5963
SpiceJet,Banglore,Delhi,0,3625
SpiceJet,Kolkata,Banglore,0,3841
IndiGo,Banglore,Delhi,0,4823
Multiple carriers,Delhi,Cochin,1,9646
Jet Airways,Delhi,Cochin,1,10152
IndiGo,Delhi,Cochin,1,7514
Jet Airways,Banglore,New Delhi,1,16736
Jet Airways,Kolkata,Banglore,1,13584
Air India,Kolkata,Banglore,2,11222
IndiGo,Chennai,Kolkata,0,3850
Vistara,Banglore,New Delhi,0,7608
Jet Airways,Kolkata,Banglore,1,10844
Multiple carriers,Delhi,Cochin,1,7408
Vistara,Chennai,Kolkata,0,3687
SpiceJet,Delhi,Cochin,1,11726
Jet Airways,Kolkata,Banglore,1,9663
Air India,Kolkata,Banglore,2,12829
IndiGo,Delhi,Cochin,1,6069
Jet Airways,Kolkata,Banglore,1,8529
Vistara,Kolkata,Banglore,1,8085
Vistara,Banglore,Delhi,0,4878
IndiGo,Banglore,Delhi,0,4077
IndiGo,Kolkata,Banglore,1,7605
Jet Airways,Delhi,Cochin,2,13014
IndiGo,Delhi,Cochin,1,11600
Jet Airways,Kolkata,Banglore,1,14151
Air India,Delhi,Cochin,2,12497
Jet Airways,Delhi,Cochin,1,17024
SpiceJet,Chennai,Kolkata,0,6300
Multiple carriers,Delhi,Cochin,1,15147
Multiple carriers,Delhi,Cochin,1,6795
IndiGo,Mumbai,Hyderabad,0,5755
Air India,Kolkata,Banglore,1,10203
Jet Airways,Delhi,Cochin,1,14714
IndiGo,Banglore,New Delhi,0,4545
Jet Airways,Kolkata,Banglore,1,14781
Air India,Banglore,New Delhi,2,11602
IndiGo,Mumbai,Hyderabad,0,4049
Jet Airways,Delhi,Cochin,2,13029
Jet Airways,Kolkata,Banglore,1,14571
Air India,Banglore,Delhi,0,6961
SpiceJet,Kolkata,Banglore,1,6381
SpiceJet,Kolkata,Banglore,0,3841
Jet Airways,Delhi,Cochin,2,11538
Vistara,Kolkata,Banglore,1,8610
Air India,Delhi,Cochin,2,11552
Multiple carriers,Delhi,Cochin,1,7408
Jet Airways,Delhi,Cochin,1,10262
Air India,Kolkata,Banglore,2,10991
Multiple carriers,Delhi,Cochin,1,13587
Air India,Delhi,Cochin,1,7480
IndiGo,Banglore,New Delhi,1,6351
Multiple carriers,Delhi,Cochin,1,7153
Air Asia,Kolkata,Banglore,0,4409
IndiGo,Kolkata,Banglore,1,7228
Multiple carriers,Delhi,Cochin,1,11667
SpiceJet,Kolkata,Banglore,1,4649
Air India,Kolkata,Banglore,2,12592
Multiple carriers,Delhi,Cochin,1,11789
Air India,Chennai,Kolkata,0,4667
Air Asia,Kolkata,Banglore,1,9719
Air India,Delhi,Cochin,1,6902
Jet Airways,Kolkata,Banglore,1,14781
Jet Airways,Kolkata,Banglore,1,10844
Air India,Kolkata,Banglore,2,11522
